epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,14516.9,0.32323,0.88113,0.92875,0.79126,0.70146,0.83742,0.72055,0.6038,1.30641,1.13749,0.0005776,0.0005776,0.0005776
66,14703.8,0.31943,0.86677,0.92613,0.64616,0.69807,0.73178,0.64234,0.61587,1.52975,1.12444,0.000571,0.000571,0.000571
67,14909.7,0.33823,0.88828,0.92772,0.8172,0.70444,0.77352,0.68862,0.52229,1.3556,0.97834,0.0005644,0.0005644,0.0005644
68,15099.8,0.29283,0.86488,0.90052,0.67418,0.82689,0.8314,0.75353,0.5057,1.1415,1.01666,0.0005578,0.0005578,0.0005578
69,15295.3,0.32415,0.83971,0.92994,0.60229,0.8662,0.80879,0.70832,0.58118,1.54867,1.07931,0.0005512,0.0005512,0.0005512
70,15483.5,0.30825,0.83446,0.92482,0.70534,0.72334,0.79212,0.71047,0.58363,1.38427,1.08909,0.0005446,0.0005446,0.0005446
71,15671.7,0.30136,0.7594,0.91439,0.63109,0.68344,0.78993,0.72536,0.54638,1.34507,1.0665,0.000538,0.000538,0.000538
72,15858.5,0.31803,0.80546,0.93139,0.64225,0.70735,0.76846,0.69666,0.53339,1.43656,1.03468,0.0005314,0.0005314,0.0005314
73,16043.8,0.3154,0.8001,0.91625,0.80948,0.6976,0.76427,0.70674,0.54474,1.40575,1.03791,0.0005248,0.0005248,0.0005248
74,16247.7,0.30296,0.77984,0.91002,0.85619,0.77138,0.89336,0.79466,0.50469,1.2582,0.9945,0.0005182,0.0005182,0.0005182
75,16443.5,0.30857,0.78255,0.91726,0.79393,0.76449,0.81003,0.70079,0.55041,1.39245,1.03152,0.0005116,0.0005116,0.0005116
76,16632.6,0.30583,0.79348,0.90872,0.82003,0.76729,0.82013,0.76341,0.47364,1.41844,1.00984,0.000505,0.000505,0.000505
77,16825.8,0.32793,0.7902,0.92768,0.68742,0.77536,0.81125,0.7548,0.51709,1.1909,1.0929,0.0004984,0.0004984,0.0004984
78,17005.1,0.31014,0.7472,0.9125,0.6714,0.69425,0.80223,0.73142,0.53492,1.21754,1.04388,0.0004918,0.0004918,0.0004918
79,17207.1,0.31833,0.73571,0.91218,0.68608,0.72069,0.77621,0.70042,0.55738,1.35218,1.10236,0.0004852,0.0004852,0.0004852
80,17403.8,0.28837,0.75903,0.90365,0.80984,0.89564,0.91728,0.7889,0.618,0.97285,1.12241,0.0004786,0.0004786,0.0004786
81,17596.5,0.29682,0.74612,0.92181,0.8245,0.75527,0.86521,0.73304,0.65127,1.18807,1.15144,0.000472,0.000472,0.000472
82,17785.9,0.29048,0.71997,0.91202,0.77518,0.7939,0.84637,0.75653,0.53659,1.14143,1.02689,0.0004654,0.0004654,0.0004654
83,17991.3,0.32132,0.77358,0.92153,0.82857,0.85,0.85403,0.7702,0.50547,1.00542,1.03969,0.0004588,0.0004588,0.0004588
84,18231.4,0.28906,0.71597,0.908,0.88777,0.79979,0.92085,0.80977,0.51916,1.03017,1.07332,0.0004522,0.0004522,0.0004522
85,18430.1,0.30698,0.73688,0.92001,0.79302,0.80194,0.84801,0.75287,0.54749,1.22863,1.0817,0.0004456,0.0004456,0.0004456
86,18619.4,0.28943,0.72249,0.9127,0.81927,0.80733,0.87381,0.78331,0.54657,1.11522,1.08593,0.000439,0.000439,0.000439
87,18815.2,0.28872,0.68764,0.91463,0.74686,0.85562,0.87943,0.77432,0.54967,1.13228,1.04789,0.0004324,0.0004324,0.0004324
88,19022.4,0.28729,0.72201,0.89892,0.63465,0.81802,0.80676,0.70509,0.50591,1.29343,1.00398,0.0004258,0.0004258,0.0004258
89,19211.1,0.29547,0.68485,0.91327,0.80459,0.70718,0.80291,0.69437,0.52958,1.28421,1.07285,0.0004192,0.0004192,0.0004192
90,19402.4,0.28133,0.69204,0.90139,0.79986,0.78027,0.86933,0.74269,0.5607,1.29012,1.1154,0.0004126,0.0004126,0.0004126
91,19595.9,0.29383,0.69324,0.91621,0.65945,0.75819,0.84883,0.75389,0.52075,1.35484,1.0311,0.000406,0.000406,0.000406
92,19787.1,0.29216,0.6799,0.92237,0.79244,0.78628,0.86117,0.78171,0.53464,1.16095,1.03699,0.0003994,0.0003994,0.0003994
93,19990.8,0.28832,0.68506,0.90354,0.72153,0.78963,0.84664,0.76201,0.52134,1.1719,1.06073,0.0003928,0.0003928,0.0003928
94,20199.3,0.29079,0.67427,0.9135,0.79032,0.83017,0.86414,0.76862,0.50656,1.08012,1.01823,0.0003862,0.0003862,0.0003862
95,20400.3,0.30798,0.65494,0.91649,0.70091,0.85006,0.83759,0.75045,0.50569,1.24685,1.02687,0.0003796,0.0003796,0.0003796
96,20597.6,0.28353,0.64923,0.8996,0.80666,0.81641,0.88464,0.78973,0.53036,1.02465,1.09199,0.000373,0.000373,0.000373
97,20860.4,0.27417,0.62704,0.8956,0.86517,0.7595,0.89564,0.77739,0.58179,1.04816,1.08028,0.0003664,0.0003664,0.0003664
98,21078.2,0.28341,0.64587,0.91231,0.8559,0.81198,0.87814,0.77064,0.57485,0.98033,1.04286,0.0003598,0.0003598,0.0003598
99,21270,0.28456,0.66169,0.90664,0.87755,0.77051,0.87762,0.80444,0.49166,1.04263,0.98146,0.0003532,0.0003532,0.0003532
100,21466.6,0.2751,0.67949,0.90696,0.86707,0.83425,0.8957,0.81373,0.51624,0.88374,0.98109,0.0003466,0.0003466,0.0003466
101,21663.9,0.29159,0.62975,0.91193,0.78698,0.68126,0.82138,0.71113,0.59502,1.19266,1.07162,0.00034,0.00034,0.00034
102,21854.2,0.29046,0.64448,0.90443,0.79688,0.68991,0.81028,0.71203,0.56506,1.1606,1.08995,0.0003334,0.0003334,0.0003334
103,22038.7,0.27251,0.61624,0.89514,0.75309,0.85547,0.84796,0.73052,0.55682,1.06357,1.07184,0.0003268,0.0003268,0.0003268
104,22225.5,0.26667,0.62016,0.90289,0.78404,0.79817,0.85708,0.75895,0.56037,1.1727,1.05684,0.0003202,0.0003202,0.0003202
105,22420.9,0.29778,0.65579,0.92087,0.74427,0.78614,0.84232,0.75544,0.49877,1.17078,1.03488,0.0003136,0.0003136,0.0003136
